秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,味方,Sara_01,2
2,敵,Enemy_12,0
3,敵,Enemy_13,0
4,敵,Enemy_12,0
5,敵,Enemy_13,0
6,敵,Enemy_14,0
13,敵,Enemy_04,1
13.5,敵,Enemy_05,1
14,敵,Enemy_06,1
14.5,敵,Enemy_07,1
15,敵,Enemy_04,1
15.5,敵,Enemy_05,1
16,敵,Enemy_06,1
16.5,敵,Enemy_07,1
17,敵,Enemy_06,1
17.5,敵,Enemy_06,1
18,敵,Enemy_06,1
18.5,敵,Enemy_06,1
19,敵,Enemy_07,1
19.5,敵,Enemy_07,1
20,敵,Enemy_01,1
20.5,敵,Enemy_01,1
21,敵,Enemy_05,1
21.5,敵,Enemy_06,1
22,敵,Enemy_02,1
22.5,敵,Enemy_05,1
23,敵,Enemy_06,1
23.5,敵,Enemy_02,1
24,敵,Enemy_04,1
24.5,敵,Enemy_05,1
25,敵,Enemy_06,1
25.5,敵,Enemy_03,1
26,敵,Enemy_28,0
26.5,敵,Enemy_29,0
27,敵,Enemy_28,0
27.5,敵,Enemy_29,0
28,敵,Enemy_30,0
28.5,敵,Enemy_31,0
29,敵,Enemy_28,0
29.5,敵,Enemy_29,0
30,敵,Enemy_28,0
30.5,敵,Enemy_29,0
31,敵,Enemy_30,0
31.5,敵,Enemy_31,0
80,敵,Enemy_12,2
81,敵,Enemy_13,2
82,敵,Enemy_12,2
83,敵,Enemy_13,2
84,敵,Enemy_14,2
85,敵,Enemy_12,2
86,敵,Enemy_13,2
87,敵,Enemy_12,2
88,敵,Enemy_13,2
89,敵,Enemy_14,2
100,敵,Boss_04,1
101,敵,Enemy_28,0
102,敵,Enemy_29,0
103,敵,Enemy_03,0
104,敵,Enemy_02,0
105,敵,Enemy_28,0
106,敵,Enemy_29,0
107,敵,Enemy_03,0
108,敵,Enemy_02,0
109,敵,Enemy_28,0
110,敵,Enemy_29,0
111,敵,Enemy_03,0
112,敵,Enemy_02,0
113,敵,Boss_03,1
