秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,味方,Loxy_01,5
5,敵,Enemy_15,3
10,敵,Enemy_15,3
13,敵,Enemy_15,3
16,敵,Enemy_16,3
19,敵,Enemy_15,3
22,敵,Enemy_16,3
25,敵,Enemy_16,3
28,敵,Enemy_16,3
40,敵,Enemy_30,1
40.3,敵,Enemy_28,1
40.6,敵,Enemy_30,1
40.9,敵,Enemy_27,1
41.2,敵,Enemy_31,1
41.5,敵,Enemy_29,1
41.8,敵,Enemy_30,1
42.1,敵,Enemy_31,1
42.4,敵,Enemy_27,1
42.7,敵,Enemy_28,1
43,敵,Enemy_29,1
43.3,敵,Enemy_27,1
43.6,敵,Enemy_28,1
43.9,敵,Enemy_29,1
44.2,敵,Enemy_31,1
60,敵,Enemy_26,1
60.3,敵,Enemy_28,1
60.6,敵,Enemy_30,1
60.9,敵,Enemy_27,1
61.2,敵,Enemy_31,1
61.5,敵,Enemy_29,1
61.8,敵,Enemy_30,1
62.1,敵,Enemy_31,1
62.4,敵,Enemy_27,1
62.7,敵,Enemy_28,1
63,敵,Enemy_29,1
63.3,敵,Enemy_27,1
63.6,敵,Enemy_28,1
63.9,敵,Enemy_29,1
64.2,敵,Enemy_31,1
81.1,敵,Enemy_26,1
81.4,敵,Enemy_29,1
81.7,敵,Enemy_28,1
82,敵,Enemy_27,1
82.3,敵,Enemy_30,1
82.6,敵,Enemy_27,1
82.9,敵,Enemy_03,1
83.2,敵,Enemy_27,1
83.5,敵,Enemy_28,1
83.8,敵,Enemy_29,1
84.1,敵,Enemy_03,1
84.4,敵,Enemy_27,1
84.7,敵,Enemy_27,1
85,敵,Enemy_29,1
85.3,敵,Enemy_27,1
85.6,敵,Enemy_02,1
85.9,敵,Enemy_28,1
86.2,敵,Enemy_27,1
86.5,敵,Enemy_03,1
86.8,敵,Enemy_02,1
87.1,敵,Enemy_27,1
87.4,敵,Enemy_29,1
87.7,敵,Enemy_03,1
88,敵,Enemy_02,1
