,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
2,,ーー奥でシャンディがオレンドに詰め寄る,,,,,none,場面切り替え/背景切り替え,38,025_car_front
3,shandy,アキュエリまでは真っ直ぐ行っても２ヶ月。興行しながら行けば半年近くかかるわ。,,,R,angry,talk,,5,
4,orend,そうさあ！,,,L,smile,talk,,39,
5,shandy,まさかその間ずっと、小さな旅芸人の私たちが稼いだ日銭を差し上げるって話かしら？,,,R,angry,talk,,24,
5,shandy,ねえ？いつから私たちは慈善活動を始めたのかしら。,,,R,angry,talk,,31,
6,orend,あれ？確かに！お金のこと全然考えてなかったなぁ！はっはっはー！,,,L,smile,talk,,6,
7,shandy,なめてるの？,,,R,angry,talk,,12,
8,orend,いっ！ご、ごめんなさい。,,,L,confuse,talk,,14,
9,shandy,で、どうするかは考えてるの？,,,R,angry,talk,,32,
10,orend,んー！まったく。でもなあ！俺はヴェェェルに運命を感じてるのさあ！,,,L,smile,talk,,30,
10,orend,言葉にはできないけど！きっといいことがあると思うんだよなあ！,,,L,smile,talk,,35,
11,shandy,何よそれ。はぁ...でも私は別に降ろしたいと思っているわけじゃないわ。,,,R,angry,talk,,10,
12,orend,お、おや？そうなの？,,,L,smile,talk,,31,
13,shandy,当たり前でしょ。婚約者の友達を無理やり降ろすはずないじゃない。,,,R,angry,talk,,22,
14,orend,おぉお！シャァァンディィィ！サンキューなあ！,,,L,smile,talk,,3,
15,shandy,でも。,,,R,angry,talk,,3,
16,orend,でも？,,,L,normal,talk,,8,
17,shandy,お金は別問題よ。,,,R,angry,talk,,10,
18,orend,・・・ああ！そうだ！,,,L,smile,talk,,4,
19,shandy,なによ。,,,R,angry,talk,,36,
20,orend,ヴェルに演劇に出て貰えばいいんだよー！背も高いし、なんか、貫禄あるしい！,,,L,smile,talk,,13,
21,shandy,・・・まぁ、それでいいわ。,,,R,angry,talk,,55,
22,orend,よーし決まり！シャンディィィありがとー！お金のことなーんにも考えてなかったなぁ！あっはっはー！サンキューなぁ！,,,L,smile,talk,,10,
23,shandy,はぁ...まったく。,,,R,angry,talk,,29,
24,orend,はっはっはー！さんきゅーなぁ！シャンディ、サンキューなぁ！,,,L,smile,talk,,#REF!,
26,,それから私たちはアキュエリの街へ向かう道中、演劇の指導を受けつつ、さまざまな街の様子を見て回ったのだ。,,,,,talk,背景切り替え/BGM切り替え(ドラマティック・シティ),#REF!,034_town
28,,ーーイーラとヴェルが旅の途中の街で,,,,,none,場面切り替え/背景切り替え,12,042_stall
29,era,ねぇヴェル！あれなーに！,,,L,normal,talk,,9,
30,volcus,ふむ。野菜露天だ。,,,R,smile,talk,,17,
31,era,へえー！あの森みたいなのも野菜！？,,,L,normal,talk,,14,
32,volcus,そうだ。ブロッコリーという。,,,R,smile,talk,,24,
33,era,へえー！すごい形ね！あ！あっちは！？かわいいー！,,,L,normal,talk,,16,
34,volcus,ふむ。あれはキャンディーという。,,,R,smile,talk,,13,
35,era,きゃんでぃー？ってなーに？,,,L,normal,talk,,15,
36,volcus,ふむ。口に含んで楽しむものだ。,,,R,smile,talk,,17,
37,era,へえー！甘いの！？しょっぱいの！？,,,L,normal,talk,,10,
38,volcus,甘い味のものが多い。,,,R,smile,talk,,12,
39,era,へえーー。.ふーん...,,,L,normal,talk,,6,
40,volcus,欲しいのか。,,,R,smile,talk,,4,
41,era,いいの？,,,L,normal,talk,,44,
42,volcus,かまわん。演劇がなかなか難しいゆえ、まだあまり賃金がもらえないが...買うことはできる。,,,R,smile,talk,,17,
43,era,やったー！ねえ、私黒いのがいいー！,,,L,smile,talk,,36,
44,volcus,ふむ。店主よ、その黒いものをひとつもらおう...。ふむ。ほら、イーラよ。,,,R,smile,talk,,37,
45,era,にへへ、ヴェルありがとー！いただきまーす！あーんっ！・・・か、かたーい！！,,,L,smile,talk,,13,
46,volcus,ふむ。舐めて楽しむものだ。,,,R,smile,talk,,21,
47,era,そ、そうだったんだ。てへへ。はむ。ん...,,,L,normal,talk,,9,
48,volcus,して、どうなのだ。,,,R,smile,talk,,9,
49,era,・・・まずい...,,,L,confuse,talk,,38,
50,volcus,ほう。店主よ。黒いのは何味なのだ。・・・ほう。イカスミというのか。知らぬな。,,,R,smile,talk,,15,
51,era,・・・ヴェル...うー...。,,,L,normal,talk,,26,
52,volcus,・・・店主よ、すまないがもう一つ、赤いのをもらおう。,,,R,smile,talk,,8,
53,era,・・・何味なの？,,,L,normal,talk,,30,
54,volcus,おそらくいちごという果実の味だ...。黒い方は私が預かろう。,,,R,smile,talk,,17,
55,era,ヴェル、いいの？あっ、ありがとう。,,,L,normal,talk,,5,
56,volcus,かまわん。,,,R,smile,talk,,5,
57,era,でも...,,,L,normal,talk,,17,
