,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,Type,補足コメント,,背景画像名
1,,,,,,,none,場面転換,0,
2,silhouette_man_confuse,・・・俺みたいなインプ族は元々小柄で、力も弱いから。家族で参加したのは俺だけだった。,,,L,confuse,talk,,42,
3,silhouette_man_confuse,俺は運良く死なずに、この街の貴族の奴隷として雇われた。,,,L,confuse,talk,,27,
4,volcus,それで、近くの森のコロニーに家族がいると思ってか。,,,R,normal,talk,※口角下がり顔,25,
5,silhouette_man_confuse,・・・そうさ。そしたら捕まってあのざまさ...。,,,L,confuse,talk,,24,
6,volcus,ふむ。わかった。ご苦労だったな。,,,R,normal,talk,※口角下がり顔,16,
7,silhouette_man_confuse,・・・ん？あ、あぁ。,,,L,confuse,talk,,10,
8,volcus,安心して休むとよい。ここは心優しき者の家だ。,,,R,normal,talk,※口角下がり顔,22,
9,silhouette_man_confuse,あ、あぁ...ありがてぇ...,,,L,confuse,talk,,15,
10,volcus,ふむ...。ずずず。良き夢を。,,,R,normal,talk,※口角下がり顔,15,
11,volcus,,,,,,none,食器と移動のSE,0,
12,volcus,馳走になった。,,,R,smile,talk,,7,
13,eleth,あら。お話はもう終わったんですか,,,L,normal,talk,,16,
14,volcus,ありがとう。気遣いに感謝する。,,,R,smile,talk,,15,
15,eleth,くすっ、老婆のいらぬお節介だと思ってください。,,,L,normal,talk,,23,
16,volcus,では、そうさせていただく。,,,R,smile,talk,,13,
17,eleth,ヴェル様は、お風呂は入られますか？,,,L,normal,talk,,17,
18,volcus,ふむ。いや私は寝ずとも良き身なので、最後に借ることとする。,,,R,smile,talk,,29,
19,eleth,そうですか。,,,L,normal,talk,,6,
20,volcus,では。,,,R,smile,talk,,3,
21,eleth,イーラの部屋は二階に上がって左手の部屋です。,,,L,normal,talk,,22,
22,volcus,・・・そうか。ありがとう,,,R,smile,talk,,12,
23,eleth,イーラは毎晩このくらいの時間から、冒険の本を読んで欲しいと駄々をこね始めます。,,,L,normal,talk,,39,
24,eleth,今日はヴェル様の話を聞きたいみたいだから、子供の相手と思って少しの間だけ、お話を聞かせてあげてください。,,,L,normal,talk,,52,
25,volcus,・・・,,,R,smile,talk,,3,
26,eleth,私は久しぶりにゆっくりお風呂につからせていただきますから。場所とシーツのお代と思ってください。,,,L,normal,talk,,47,
27,volcus,では、しっかりと勤めあげよう。,,,R,smile,talk,,15,
28,eleth,くすっ、よろしくお願いします。,,,L,smile,talk,,15,
29,,,,,,,none,階段を上がる、ノックの音,0,
30,volcus,起きておるか。,,,R,smile,talk,,7,
31,era,んー、どうぞ。,,,L,normal,talk,,7,
32,volcus,失礼させていただく。,,,R,smile,talk,,10,
33,era,やっときた。遅かったのねぇ。,,,L,normal,talk,,14,
34,volcus,すまぬ。話し込んでしまってな。,,,R,smile,talk,,15,
35,era,ん。ゆるそう。,,,L,smile,talk,,7,
36,volcus,ふっ...。,,,R,smile,talk,,6,
37,era,ねえ、ヴェルはどこからきたの？,,,L,normal,talk,,15,
38,volcus,難しい質問だ。私は...。,,,R,smile,talk,,13,
39,era,ねえ、魔王っているの？,,,L,normal,talk,,11,
40,volcus,なぜ、それを聞く？,,,R,smile,talk,,9,
41,era,あのね、本を読んだの。魔王はね、ヴォルカスっていうの。私はね、きっと可哀想な人だって思うの。,,,L,normal,talk,,46,
42,volcus,ほう。,,,R,smile,talk,,3,
43,era,それでね、私が生まれた年に魔王は死んだの。けど、誰も会ったことがないんだって。どんな人か知らないんだけど悪い人だって。,,,L,normal,talk,,59,
44,volcus,ふむ。,,,R,smile,talk,,3,
45,era,でも私はそう思わないの。魔王はきっとね、いい人だったのよ。,,,L,normal,talk,,29,
46,volcus,当たってもいるが、間違ってもいる。,,,R,smile,talk,,17,
47,era,ヴェルは、魔王のこと知っているの？,,,L,normal,talk,,17,
48,volcus,多少なら。,,,R,smile,talk,,5,
49,era,やっぱり。ねえ、話して。そのお話。ヴェルの知っていることでいいの。,,,L,normal,talk,,33,
50,volcus,ふむ。では...,,,R,smile,talk,,8,
