,,,,,,,
,ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,
,No,ファイル名,キャラクター,日本語,英語,中国語,LR
,1,001_エリス,エリス,すべてが闇に包まれ、あたりは絶望の響きにあふれ、出口がひとつも見当たらないとき、救いは記憶の中の愛にある。その愛は単なる過ぎし日々の思い出ではなく、今、私たちを支えてくれる力だ。記憶により、愛は時間の制約を超える。そしていついかなるときも、私たちに希望を差し出してくれる。ーヘンリ・ナウエンー,．,,
,,,ト書き,イーラの寝室。布団の中でお婆ちゃんに本を読んでとねだる。,,,
,2,002_イーラ,イーラ,ねえ、ばあば。,,,
,3,003_エリス,エリス,なんだい、イーラや。,,,
,4,004_イーラ,イーラ,あのね、眠くないから、今日もご本読んでぇ。 ーー眠くて甘えたくなっているーーー,,,
,5,005_エリス,エリス,あらあら、もうとおと一つにもなるのに、甘えん坊さんねぇ。じゃあねえ、今日はこの本を読んであげようかしら。これはねママが１番好きだった物語だよ。,,,
,6,006_イーラ,イーラ,うん。やったあ。どんなお話なの？,,,
,7,007_エリス,エリス,ずっと昔の、魔族の王様のお話だよ。どれどれ。昔々、魔族がまだ誕生していない遥か昔、人と神の時代に聖戦が起こりました。その時代では、「権力と金の神ギルディ」と「愛と慈悲の神イルミア」の信者で世界は二つに分かれていました。そしてギルディの信者たちは、たびたびイルミアの信者たちから財産や権力を奪いましたが、イルミアの信者たちは抵抗をしませんでした。,,,
,8,008_イーラ,イーラ,かわいそう。イルミアの信者たちはどうして抵抗しないの？,,,
,9,009_エリス,エリス,そうねぇ。どうしてだろうねえ。それは自分で考えてごらん。,,,
,10,010_イーラ,イーラ,えー。うーん・・・,,,
,11,011_エリス,エリス,・・・ヴォルカスは信心深いイルミアの信者であり、騎士であったそうな。しかし、なぜ自分たちだけ奪われなければならないのか、不思議でならなかった。そこでヴォルカスは神に問いかけました。,,,
,12,012_ヴェル,ヴェル,イルミア様、なぜ我々は彼の者達を愛さねばならないのですか。,,,
,13,013_エリス,エリス,しかし、神は何も答えません。,,,
,14,014_ヴェル,ヴェル,イルミア様、なぜ我々は彼の者達を・・・愛さねばならないのですか。,,,
,15,015_エリス,エリス,やっぱり、神は何も答えません。,,,
,16,016_イーラ,イーラ,神様はどうして答えを教えてくれないの？,,,
,17,017_エリス,エリス,それはね、きっと自分で考えないといけないことだからよ。,,,
,18,018_イーラ,イーラ,えー、うーん・・・わかんない・・・うーん。,,,
,19,019_エリス,エリス,来る日も、来る日も、ヴォルカスは神に問い続けました。でも神からの言葉はない。ある日ヴォルカスは神殿に来なくなりました。彼は最後の晩、神にこう問いかけました。,,,
,20,020_ヴェル,ヴェル,イルミア様、なぜ我々だけ、奪われ続けなければならないのですか。,,,
,21,021_エリス,エリス,その日ヴォルカスは魔に落ちました。それからヴォルカスはあちこちで苦しむ人々を魔の力で救い、あっという間に魔族の仲間をこしらえた。,,,
,22,022_イーラ,イーラ,すごい！ --一瞬覚醒---,,,
,23,023_エリス,エリス,そうだね。きっとすごい強い騎士様だったんだろうねえ。,,,
,24,024_イーラ,イーラ,かっこいいね。 --溶けていく---,,,
,25,025_エリス,エリス,そうねえ。・・・さて、強欲なギルディはヴォルカスにこう持ちかけました。,,,
,26,026_ギルディ,ギルディ,イルミアの信者を魔族に変えよ。さすれば我が貴様らの繁栄を約束してやろう。,,,
,27,027_エリス,エリス,ヴォルカスはギルディのことが大嫌いでしたが、戦っては多勢に無勢です。仕方なく誘いに乗りイルミアの信者を次々と魔に落としていきました。そして、多くの者が魔に落ちた頃、ギルディは自分の信者たちにこう言い放ったのです。,,,
