,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,19,背景画像名
1,,ーーエリスの家が一人で家事をしている。,,,,,none,背景/BGM開始(自然の中でゆったりと),45,005_era's_ house
2,eleth,なんだかあっという間の出来事でしたねえ。寂しいような、懐かしいような。不思議な気持ちです。,,,R,normal,talk,,48,
3,eleth,ロクシーや、あなたの子も、あなたそっくりでしたよ。はぁ...片付けもしないで出ていってしまって。,,,R,normal,talk,,42,
4,eleth,ちょっとイーラの部屋を整理しますかね...うーん、さて、広いお部屋はどこでしたっけ。,,,R,normal,talk,,#REF!,
6,,ーーヴェルが家を出て行こうとする。,,,,,,,10,
7,volcus,二日間世話になった。,,,L,smile,talk,,3,
8,era,・・・,,,R,cry,talk,,29,
9,eleth,とんでもございません。私たちの方こそ、お世話になりました。,,,R,smile,talk,,40,
10,volcus,良い。コーヒーの礼だ。旅をしながら各地を回ってきたが、最も美味なコーヒーだった。,,,L,smile,talk,,19,
11,eleth,まぁ。ふふふ。相変わらず大袈裟ですね。,,,R,smile,talk,,3,
12,volcus,ふむ。,,,L,smile,talk,,13,
13,eleth,・・・イーラや。ご挨拶は。,,,R,normal,talk,,10,
14,era,・・・ねえ、ばあば。,,,R,cry,talk,,5,
15,eleth,なんだい。,,,R,normal,talk,,18,
16,era,ばあばは、私がいなくても寂しくない？,,,R,normal,talk,※疑問顔,18,
17,eleth,・・・そうさね。もちろん、寂しいよ。,,,R,normal,talk,,7,
18,era,・・・そっか。,,,R,normal,talk,,5,
19,eleth,イーラや。,,,R,normal,talk,,23,
20,era,ううん。いいの。なんでもない。なんでもないの！,,,R,smile,talk,,3,
21,volcus,ふむ。,,,L,smile,talk,,21,
22,era,ヴェル！いっぱいお話してくれてありがとう！,,,R,smile,talk,,3,
23,volcus,ふむ。,,,L,smile,talk,,8,
24,eleth,・・・イーラや。,,,R,normal,talk,,7,
25,era,なに？ばあば。,,,R,normal,talk,,25,
26,eleth,いつかあなたに見せようと思っていたものがあるのよ。,,,R,normal,talk,,13,
27,era,見せようと思っていたもの？,,,R,normal,talk,※疑問顔,39,
28,eleth,そう...。ヴェル様、すみませんが、もう少しだけこの場で時間をもらえますかね。,,,R,normal,talk,,15,
29,volcus,ふむ。構わない。旅人なのでな。,,,L,smile,talk,,29,
30,eleth,今、お持ちしますから。二人ともちょっとだけお待ちください。,,,R,normal,talk,,4,
31,era,・・・？,,,R,normal,talk,※疑問顔,3,
32,volcus,ふむ。,,,L,smile,talk,,#REF!,
34,,ーーエリスは部屋に戻りロクシーの部屋から一通の手紙を取り出す。,,,,,none,背景切り替え,40,021_loxy_room
35,eleth,あったあった。懐かしいですねぇ。この手紙を最初に読んだ時には大泣きしましたっけ。,,,R,normal,talk,,41,
36,eleth,今はなんだか、あの子に背中を押されているようで、不思議なものですねぇ...。さて。,,,R,normal,talk,,#REF!,
38,,ーー家の外、イーラが悩んでいる。,,,,,none,背景切り替え,11,012_treatment_plase
39,era,・・・ううぅうぅ...,,,R,confuse,talk,,4,
40,volcus,・・・。,,,L,smile,talk,,14,
41,era,・・・ううにゃううう...。,,,R,confuse,talk,,7,
42,volcus,・・・。ふむ。,,,L,smile,talk,,15,
43,era,うぅうぅぅ...ねぇ、ヴェル。,,,R,cry,talk,,3,
44,volcus,ふむ。,,,L,smile,talk,,18,
45,era,・・・私がついていったら...迷惑？,,,R,normal,talk,※疑問顔,24,
46,volcus,ふむ。難しい質問だ。迷惑ではあるが、嫌ではない。,,,L,smile,talk,,12,
47,era,へ...？どういうこと？,,,R,normal,talk,※疑問顔,15,
48,volcus,ふむ。構わない。ということだ。,,,L,smile,talk,,27,
49,era,・・・そっか！・・・ありがとう。ばあば、怒るかな...,,,R,smile,talk,,12,
50,volcus,どうだろうか。わからぬ。,,,L,smile,talk,,8,
51,era,うぅうう...。,,,R,cry,talk,,11,
52,,ーーエリスが出てくる。,,,,,,,25,
53,eleth,お待たせしましたねえ。ずいぶん奥にしまってまして。,,,R,normal,talk,,5,
54,volcus,かまわぬ。,,,L,smile,talk,,23,
55,eleth,ありがとうございます...。イーラや、これを。,,,R,normal,talk,,7,
56,era,へ？わたしに？,,,R,normal,talk,※疑問顔,18,
57,eleth,そうです。あなたのママからの手紙よ。,,,R,normal,talk,,8,
58,era,え...？ママ？,,,R,normal,talk,※疑問顔,52,
59,eleth,そうです。今日みたいな日がくるとと思ってずっと大切にとっておきました。あなたのママが私に書いた手紙です。,,,R,smile,talk,,5,
60,era,ばあばに？,,,R,normal,talk,※疑問顔,37,
61,eleth,そうです。最後に一つだけお願いが書いてありました。さ、開けて読んでごらん。,,,R,normal,talk,,7,
62,era,う...うん。,,,R,normal,talk,,3,
63,volcus,ふむ。,,,L,,talk,,#REF!,
65,,ーーロクシーの手紙,,,,,none,背景切り替え/BGM切り替え(Drifting_into_Dreamland),43,03_batle_field
66,loxy,親愛なるママへ。へい！ママ！元気にしてるー？私は超元気よー！ずっと帰れなくてごめんね！,,,R,smile,talk,,56,
67,loxy,魔大陸に来てから私はずーっと楽しくしてました！魔王と結婚するって言った時のママの困った顔、超傑作！面白かったー！,,,R,smile,talk,,4,
68,eleth,ふふふ。,,,R,normal,talk,,59,
69,loxy,大好きな魔王も勿論だけど、魔族のみんなもすっごく優しくてね！私は毎日あっちこっちにいっては、すんごい冒険をしています！,,,R,smile,talk,,46,
70,loxy,いつかママにも聞かせてあげるから楽しみにしててね！こっちに来てから２人の友達に出会いました！,,,R,smile,talk,,48,
71,loxy,何にでも化けて大暴れするスーパーマン！掘削機（ドリル）に化けて私の冒険のお手伝いもしてくれるの！,,,R,smile,talk,,27,
72,loxy,「土を掘るぜぇ！どりゃどりゃどりゃあ！」って超面白い！,,,R,smile,talk,,8,
73,volcus,・・・あの男は。,,,L,smile,talk,,53,
74,loxy,それとね、なんでも知ってて頭のいい大人の女性！私が持ってきた遺物をなんでも鑑定してくれるウルトラ博士なの！,,,R,smile,talk,,41,
75,loxy,「ロクシーさん、またこんなもの掘ってきて...。これは糞の化石です。と言いますか、,,,R,smile,talk,,50,
76,loxy,あなたは魔王様の愛するお方であって、そんな気軽に外出されては...ってちょっと！話聞いてますか！？」,,,R,smile,talk,,48,
77,loxy,って何回言われたことやら！私ってなんでこんなにおバカなんだろう！うーん。きっとママに似たのかな！,,,R,smile,talk,,16,
78,eleth,うふふ。そうなんでしょうかねえ。,,,R,smile,talk,,55,
