,,,,,,,,,,
ただ君だけを、守りたいと願う　6章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーー魔王城でヴォルカスとロクシー、オレンド、サラが会話をしている,,,,,none,BGM開始(小さな幸せとエトセトラ的なBGM)/背景・場面切り替え,32,028_Inside_Castle
3,volcus,ロクシーよ、気をつけるのだ。,,,R,normal,talk,,14,
4,loxy,うん！ありがと！ヴォルカス！,,,L,normal,talk,,14,
5,sara,戦時ですから、途中何があるかわかりません。細心の注意を払って、警戒を怠らないでください。,,,R,normal,talk,,44,
6,loxy,うん、サラ、ありがと。,,,L,normal,talk,,11,
7,sara,あなたは悪運が強そうなので、大丈夫かもしれませんが。,,,R,normal,talk,,26,
8,loxy,ふふふ。そうかもね。サラも体には気をつけて、元気な赤ちゃんが生まれるといいわね。,,,L,normal,talk,,40,
9,sara,ありがとう。,,,R,normal,talk,,6,
10,volcus,ふむ。オレンドよ、道中を頼む。,,,R,normal,talk,,15,
11,orend,おおよ！任しときなー！んじゃ、ロクシー頼むぜぇ、俺はバッグの中でのーんびり寝てるからよ！好きな時に呼んでくれー！,,,L,normal,talk,,56,
12,sara,オレンド、人の街に入る時は、あなたは外で待機すること。,,,R,normal,talk,,27,
13,orend,サラは心配性だなぁ！魔素感知器があんだろー？わかってるよー！はっはっはー！,,,L,normal,talk,,37,
14,volcus,ふむ。オレンドも気をつけるのだぞ。,,,R,normal,talk,,17,
15,orend,おおよー！,,,L,normal,talk,,5,
16,sara,では。,,,R,normal,talk,,3,
17,loxy,うん！,,,L,normal,talk,,3,
18,sara,またお帰りになる日をお待ちしてますね。ロクシーさん。,,,R,normal,talk,,26,
19,loxy,うん！ママに顔だけだしたら帰ってくるから！・・・ヴォルカス！,,,L,normal,talk,,30,
20,volcus,どうした。,,,R,normal,talk,,5,
21,loxy,ありがとね！色々教えてくれて！大好き！,,,L,normal,talk,,19,
22,volcus,ふむ。そなたの帰りを待っておる。,,,R,normal,talk,,16,
23,loxy,うん！じゃ！いこっか！オレンド！,,,L,normal,talk,,16,
24,orend,おおよー！探検だー！冒険だー！じゃーなー！はっはっはー！,,,L,normal,talk,,28,
25,sara,二人とも、気をつけるのよー！,,,R,normal,talk,,14,
26,loxy,はーい！二人も元気でねー！,,,L,normal,talk,,13,
27,sara,・・・さて、ヴォルカス様、城へ戻りましょうか。忙しくなりますね。,,,R,normal,talk,,32,
28,volcus,ふむ。して、サラよ。,,,L,normal,talk,,10,
29,sara,なんでしょう？,,,R,normal,talk,,7,
30,volcus,そなたには負担をかけてすまない。近頃、苦慮(くりょ)していることはないか。,,,L,normal,talk,,37,
31,sara,ありがとうございます。そうですね...ありません。オレンドが不在となると少し寂しくなるなぁ、ということでしょうか。,,,R,normal,talk,,57,
32,volcus,そうか。,,,L,normal,talk,,4,
33,sara,はい。,,,R,normal,talk,,3,
34,volcus,重さを感じたら、私のところへ来ると良い。,,,L,normal,talk,,20,
35,sara,ありがとうございます。,,,R,normal,talk,,11,
36,volcus,抱えがちなそなたのことだ、無理に介入すると気に触るであろう。無理強いせぬが。サラもまた、私の大切な者の一人である。,,,L,normal,talk,,57,
37,sara,・・・ありがとうございます。身に余る光栄です。,,,R,normal,talk,,23,
39,,ーー魔王城でヴォルカスとロクシー、オレンド、サラが会話をしている,,,,,none,場面切り替え/背景切り替え/BGM切り替え(ブルーシャドウ)(ここのト書きはミス？),32,028_Inside_Castle
