,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
72,,ーー記憶の中に入っていく,,,,,none,場面の切り替え/背景の切り替え/ BGM切り替え(歪む霊域),#REF!,032_forest
74,volcus,ふむ。まだかかってくるか。,,,L,smile,talk,,23,
75,orend,ゆるさねぇ！お前が魔王なんだろ！ゆるさねぇ！！,,,R,angry,talk,,30,
76,volcus,ふむ。好きにするが良い。そなたが飽きるまで付き合ってやろう。,,,L,smile,talk,,#REF!,
78,,ーー戻る,,,,,none,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
80,orend,ぐぅ...はあ...ガハ！,,,R,confuse,talk,,#REF!,
82,,ーー過去の記憶,,,,,,,#REF!,
84,loxy,ねえ、オレンドって好きな人いるの！？,,,L,normal,talk,,34,
85,orend,なあんでそんなこと気になるのかなぁ！まさかロクシー！俺のことが...,,,R,normal,talk,,56,
86,loxy,はあ？何言ってんの。私はヴォルカス様一筋！あぁ...ヴォルカス様ぁ、なんであなたはそんなに博識なのでしょう...,,,L,normal,talk,,#REF!,
88,,ーー戻る,,,,,,,#REF!,
90,orend,ゲホゲホ、あぁっぁっぁあああ！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
92,,ーー過去の記憶,,,,,,,#REF!,
94,sara,オレンド、あなたにだけ伝えます。,,,L,cry,talk,背景切り替え,36,028_Inside_Castle
95,orend,なあに！サラ！俺の失恋記念日でもお祝いしてくれるのかなぁ！？あっはっは！,,,R,normal,talk,,26,
96,sara,・・・いえ。私は、次の新月の夜にロクシーを殺します。,,,L,cry,talk,,#REF!,
98,,ーー戻る,,,,,,,#REF!,
100,orend,あああああっぁっぁぁああああああああ！！！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
102,,ーー過去の記憶,,,,,,,31,
103,loxy,オレンド！私のお腹を裂いて。この娘だけ、イーラだけでも守って。,,,L,cry,talk,背景切り替え,4,048_blood_ room
104,,ーー戻る,,,,,,,25,
105,orend,ああああああぁぁぁああああぁぁぁっぁああああ！！！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
