,,,,,,,,,,
ただ君だけを、守りたいと願う　5章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーー城の廊下、オレンドとロクシー,,,,,none,場面切り替え/背景切り替え/BGM切り替え(しっぽふりふり),16,028_Inside_Castle
4,loxy,あぁもう！ついてこないで！,,,L,angry,talk,,13,
5,orend,なんでだよー。,,,R,normal,talk,,7,
6,loxy,だって！あんたが言う場所、ぜーんぶ適当じゃない！,,,L,angry,talk,,24,
,loxy,この前だって、神殿の入口だとか言って入ってみたらただの地下牢。あんたほんとにこの城のこと詳しいの？,,,L,angry,talk,,49,
7,orend,はっはっはー！あんときはロクシーだって「ここには何かありそうな予感がするー！」とか言ってたじゃねーか！,,,R,normal,talk,,51,
8,loxy,うっさいわねー！あんたが「次はほんとーにすげぇ場所なんだってー！」とか言うから期待しちゃったじゃない！！,,,L,angry,talk,,52,
9,orend,はっはっは！そりゃ俺の真似かー！はっはっは！,,,R,normal,talk,,22,
10,loxy,あんただって真似したでしょー！,,,L,angry,talk,,15,
11,orend,ロクシー怖がってたもんなー！,,,R,normal,talk,,14,
11,orend,ちょ、ちょっと...あんたが先に行きなさいよ...ね、ねぇ！あー！すんげーキューティーだったぜー！,,,R,normal,talk,,49,
12,loxy,ばか！あんた！はっ倒すわよ！,,,L,angry,talk,,13,
13,orend,はっはっはー！ソーリーソーリー！ほんとにロクシーは愉快だなぁ！でよ、次行く場所はほんとにすげーんだって！,,,R,normal,talk,,52,
14,loxy,はぁ？はぁ...どこからそんな自信が湧いて出てくるのかしら。,,,L,angry,talk,,30,
15,orend,わっかんねー！はっはっはー！さてー！ついたぜー！この部屋さぁー！,,,R,normal,talk,背景切り替え,32,ここの部屋にできる画像がない？
16,loxy,はぁ？何この部屋？何もないじゃない。,,,L,angry,talk,,18,
17,orend,ちっちっちー。ここ、ここ。（地面を指差す）,,,R,normal,talk,,21,
18,loxy,ん....？よいしょ、(床に耳を当てる),,,L,normal,talk,,20,
,loxy,んー？ちょっとだけ風の音がするわね。（コンコン、コンコン、と床を叩く）うん、何か空洞がある。,,,L,normal,talk,,46,
19,orend,そうだろー！見つけちまったのよ。この前。,,,R,normal,talk,,20,
20,loxy,へぇ〜..なんで？,,,L,normal,talk,,9,
21,orend,ん？サラに怒られて床の掃除をしてたのよ。,,,R,normal,talk,,20,
22,loxy,たまにいないと思ったらそんなことしてたのね...。,,,L,normal,talk,,25,
