秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,敵,Enemy_03,1,貴族兵：猟犬,15,,ID,レベル帯,合計リソースイメージ,Wave数
1.2,敵,Enemy_03,1,貴族兵：猟犬,15,,105,1,994,1
1.5,敵,Enemy_01,1,貴族兵：剣,45,,,,,
1.6,敵,Enemy_01,1,貴族兵：剣,45,,ステージタイトル,場面1,場面2,場面3
1.8,敵,Enemy_02,1,貴族兵：銃,56,,序幕 敗者ということ,牢獄,真っ暗,夕方の民家
12.3,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
12.6,敵,Enemy_07,1,村人：大道芸人,46,,合計リソース数,,,
12.9,敵,Enemy_04,1,村人：酔っ払い,20,,730,,,
13.2,敵,Enemy_04,1,村人：酔っ払い,20,,,,,
13.5,敵,Enemy_06,1,村人：走る子供,15,,,,,
13.8,敵,Enemy_06,1,村人：走る子供,15,,,,,
14.1,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
14.4,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
14.7,敵,Enemy_06,1,村人：走る子供,15,,,,,
15,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
15.3,敵,Enemy_04,1,村人：酔っ払い,20,,,,,
15.6,敵,Enemy_07,1,村人：大道芸人,46,,,,,
15.9,敵,Enemy_06,1,村人：走る子供,15,,,,,
16.2,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
16.5,敵,Enemy_04,1,村人：酔っ払い,20,,,,,
16.8,敵,Enemy_07,1,村人：大道芸人,46,,,,,
17.1,敵,Enemy_06,1,村人：走る子供,15,,,,,
17.4,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
17.7,敵,Enemy_04,1,村人：酔っ払い,20,,,,,
18,敵,Enemy_07,1,村人：大道芸人,46,,,,,
19,敵,Enemy_19,1,傀儡：猫,45,,,,,
