秒数,布陣,キャラクター,レベル
0.5,敵,Enemy_04,1
1,敵,Enemy_05,1
1.3,敵,Enemy_06,1
1.6,敵,Enemy_07,1
1.9,敵,Enemy_04,1
2.2,敵,Enemy_05,1
2.5,敵,Enemy_06,1
2.8,敵,Enemy_07,1
3.1,敵,Enemy_06,1
3.4,敵,Enemy_06,1
3.7,敵,Enemy_06,1
4,敵,Enemy_06,1
4.3,敵,Enemy_07,1
4.6,敵,Enemy_07,1
20,敵,Enemy_01,1
20.3,敵,Enemy_01,1
20.6,敵,Enemy_05,1
20.9,敵,Enemy_06,1
21.2,敵,Enemy_02,1
21.5,敵,Enemy_05,1
21.8,敵,Enemy_06,1
22.1,敵,Enemy_02,1
22.4,敵,Enemy_04,1
22.7,敵,Enemy_05,1
23,敵,Enemy_06,1
23.3,敵,Enemy_03,1
23.6,敵,Enemy_03,1
23.9,敵,Enemy_03,1
24.2,敵,Enemy_04,1
24.5,敵,Enemy_05,1
24.8,敵,Enemy_06,1
25.1,敵,Enemy_07,1
25.4,敵,Enemy_06,1
35.1,敵,Enemy_08,1
35.3,敵,Enemy_08,1
35.5,敵,Enemy_08,1
35.7,敵,Enemy_10,1
35.9,敵,Enemy_10,1
36.1,敵,Enemy_10,1
45,敵,Boss_02,1
