秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,味方,Sara_01,3
2,敵,Enemy_12,1
3,敵,Enemy_13,1
4,敵,Enemy_12,1
5,敵,Enemy_13,1
6,敵,Enemy_14,1
13,敵,Enemy_04,2
13.5,敵,Enemy_05,2
14,敵,Enemy_06,2
14.5,敵,Enemy_07,2
15,敵,Enemy_04,2
15.5,敵,Enemy_05,2
16,敵,Enemy_06,2
16.5,敵,Enemy_07,2
17,敵,Enemy_06,2
17.5,敵,Enemy_06,2
18,敵,Enemy_06,2
18.5,敵,Enemy_06,2
19,敵,Enemy_07,2
19.5,敵,Enemy_07,2
20,敵,Enemy_01,2
20.5,敵,Enemy_01,2
21,敵,Enemy_05,2
21.5,敵,Enemy_06,2
22,敵,Enemy_02,2
22.5,敵,Enemy_05,2
23,敵,Enemy_06,2
23.5,敵,Enemy_02,2
24,敵,Enemy_04,2
24.5,敵,Enemy_05,2
25,敵,Enemy_06,2
25.5,敵,Enemy_03,2
26,敵,Enemy_28,1
26.5,敵,Enemy_29,1
27,敵,Enemy_28,1
27.5,敵,Enemy_29,1
28,敵,Enemy_30,1
28.5,敵,Enemy_31,1
29,敵,Enemy_28,1
29.5,敵,Enemy_29,1
30,敵,Enemy_28,1
30.5,敵,Enemy_29,1
31,敵,Enemy_30,1
31.5,敵,Enemy_31,1
60,敵,Boss_04,1
45,敵,Boss_03,1
71,敵,Enemy_28,2
72,敵,Enemy_29,2
73,敵,Enemy_03,2
74,敵,Enemy_02,2
81,敵,Enemy_28,2
82,敵,Enemy_29,2
83,敵,Enemy_03,2
84,敵,Enemy_02,2
91,敵,Enemy_28,2
92,敵,Enemy_29,2
93,敵,Enemy_03,2
94,敵,Enemy_02,2
